city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ginebra,3.7246,-76.2667,Colombia,CO,Valle del Cauca,minor,,
Cocorná,6.0573,-75.1852,Colombia,CO,Antioquia,minor,,
González,8.3894,-73.3799,Colombia,CO,Cesar,minor,,
Urumita,10.5589,-73.0123,Colombia,CO,La Guajira,minor,,
La Cruz,1.6022,-76.9713,Colombia,CO,Nariño,minor,,
Manatí,10.4459,-74.9587,Colombia,CO,Atlántico,minor,,
Tocaima,4.4582,-74.6343,Colombia,CO,Cundinamarca,minor,,
Ricaurte,4.2808,-74.7647,Colombia,CO,Cundinamarca,minor,,
Samaniego,1.3385,-77.5957,Colombia,CO,Nariño,minor,,
Lebrija,7.1132,-73.2178,Colombia,CO,Santander,minor,,
Monguí,5.7215,-72.8491,Colombia,CO,Boyacá,minor,,
Sevilla,4.2642,-75.9309,Colombia,CO,Valle del Cauca,minor,,
Enciso,6.6681,-72.6999,Colombia,CO,Santander,minor,,
San Luis de Sincé,9.2439,-75.1467,Colombia,CO,Sucre,minor,,
Hatillo de Loba,8.9564,-74.0782,Colombia,CO,Bolívar,minor,,
San Juan de Betulia,9.2735,-75.2410,Colombia,CO,Sucre,minor,,
Ragonvalia,7.5775,-72.4757,Colombia,CO,Norte de Santander,minor,,
San Estanislao,10.3983,-75.1511,Colombia,CO,Bolívar,minor,,
Santuario,5.0742,-75.9642,Colombia,CO,Risaralda,minor,,
Támesis,5.6646,-75.7134,Colombia,CO,Antioquia,minor,,
Retiro,6.0586,-75.5031,Colombia,CO,Antioquia,minor,,
Cajibío,2.6227,-76.5704,Colombia,CO,Cauca,minor,,
Ramiriquí,5.4002,-73.3354,Colombia,CO,Boyacá,minor,,
Caucasia,7.9865,-75.1935,Colombia,CO,Antioquia,minor,,
Pital,2.2665,-75.8044,Colombia,CO,Huila,minor,,
Tibaná,5.3173,-73.3965,Colombia,CO,Boyacá,minor,,
Saldaña,3.9292,-75.0152,Colombia,CO,Tolima,minor,,
Guaitarilla,1.1310,-77.5481,Colombia,CO,Nariño,minor,,
Jericó,5.7921,-75.7860,Colombia,CO,Antioquia,minor,,
Sopetrán,6.5018,-75.7431,Colombia,CO,Antioquia,minor,,
Pandi,4.1911,-74.4875,Colombia,CO,Cundinamarca,minor,,
Salgar,5.9650,-75.9654,Colombia,CO,Antioquia,minor,,
Isnos,1.9287,-76.2110,Colombia,CO,Huila,minor,,
San José de Pare,6.0175,-73.5470,Colombia,CO,Boyacá,minor,,
Gigante,2.3868,-75.5453,Colombia,CO,Huila,minor,,
Úmbita,5.2204,-73.4570,Colombia,CO,Boyacá,minor,,
Caramanta,5.5478,-75.6437,Colombia,CO,Antioquia,minor,,
Betulia,6.1128,-75.9838,Colombia,CO,Antioquia,minor,,
Aranzazu,5.2712,-75.4904,Colombia,CO,Caldas,minor,,
Tarso,5.8647,-75.8219,Colombia,CO,Antioquia,minor,,
Palestina,1.7236,-76.1340,Colombia,CO,Huila,minor,,
Betania,5.7460,-75.9777,Colombia,CO,Antioquia,minor,,
Galeras,9.1609,-75.0481,Colombia,CO,Sucre,minor,,
Fúquene,5.4043,-73.7964,Colombia,CO,Cundinamarca,minor,,
Fundación,10.5207,-74.1850,Colombia,CO,Magdalena,minor,,
Mahates,10.2329,-75.1898,Colombia,CO,Bolívar,minor,,
Fonseca,10.8861,-72.8487,Colombia,CO,La Guajira,minor,,
San Marcos,8.6597,-75.1281,Colombia,CO,Sucre,minor,,
Guamo,4.0308,-74.9701,Colombia,CO,Tolima,minor,,
Guachetá,5.3842,-73.6862,Colombia,CO,Cundinamarca,minor,,
Lenguazaque,5.3071,-73.7115,Colombia,CO,Cundinamarca,minor,,
Apulo,4.5195,-74.5929,Colombia,CO,Cundinamarca,minor,,
Iza,5.6120,-72.9793,Colombia,CO,Boyacá,minor,,
Balboa,2.0418,-77.2165,Colombia,CO,Cauca,minor,,
Heliconia,6.2069,-75.7337,Colombia,CO,Antioquia,minor,,
Saravena,6.9632,-71.8823,Colombia,CO,Arauca,minor,,
Los Córdobas,8.8940,-76.3546,Colombia,CO,Córdoba,minor,,
Capitanejo,6.5288,-72.6959,Colombia,CO,Santander,minor,,
Yarumal,6.9632,-75.4174,Colombia,CO,Antioquia,minor,,
Turmequé,5.3236,-73.4907,Colombia,CO,Boyacá,minor,,
Toribío,2.9548,-76.2684,Colombia,CO,Cauca,minor,,
Bosconia,9.9711,-73.8882,Colombia,CO,Cesar,minor,,
Obando,4.5758,-75.9739,Colombia,CO,Valle del Cauca,minor,,
Tubará,10.8744,-74.9789,Colombia,CO,Atlántico,minor,,
Lérida,4.8624,-74.9098,Colombia,CO,Tolima,minor,,
Ráquira,5.5379,-73.6320,Colombia,CO,Boyacá,minor,,
Acacías,3.9869,-73.7580,Colombia,CO,Meta,minor,,
Sora,5.5651,-73.4502,Colombia,CO,Boyacá,minor,,
La Victoria,5.5258,-74.2361,Colombia,CO,Boyacá,minor,,
Acevedo,1.8046,-75.8904,Colombia,CO,Huila,minor,,
Sucre,2.0380,-76.9245,Colombia,CO,Cauca,minor,,
Linares,1.3508,-77.5234,Colombia,CO,Nariño,minor,,
Villanueva,6.6717,-73.1742,Colombia,CO,Santander,minor,,
Tolú Viejo,9.4508,-75.4386,Colombia,CO,Sucre,minor,,
Ocamonte,6.3400,-73.1221,Colombia,CO,Santander,minor,,
La Florida,1.2985,-77.4061,Colombia,CO,Nariño,minor,,
Arroyohondo,10.2522,-75.0198,Colombia,CO,Bolívar,minor,,
Pacho,5.1328,-74.1598,Colombia,CO,Cundinamarca,minor,,
Siachoque,5.5124,-73.2444,Colombia,CO,Boyacá,minor,,
Distracción,10.8978,-72.8867,Colombia,CO,La Guajira,minor,,
Fosca,4.3392,-73.9385,Colombia,CO,Cundinamarca,minor,,
Toca,5.5639,-73.1840,Colombia,CO,Boyacá,minor,,
Ebéjico,6.3260,-75.7683,Colombia,CO,Antioquia,minor,,
Buenavista,4.3597,-75.7389,Colombia,CO,Quindío,minor,,
Cerro de San Antonio,10.3259,-74.8693,Colombia,CO,Magdalena,minor,,
Granada,6.1435,-75.1853,Colombia,CO,Antioquia,minor,,
Venadillo,4.7193,-74.9292,Colombia,CO,Tolima,minor,,
Guadalupe,6.8145,-75.2406,Colombia,CO,Antioquia,minor,,
El Espino,6.4828,-72.4972,Colombia,CO,Boyacá,minor,,
Canalete,8.7856,-76.2406,Colombia,CO,Córdoba,minor,,
Tuta,5.6897,-73.2278,Colombia,CO,Boyacá,minor,,
Montelíbano,7.9797,-75.4195,Colombia,CO,Córdoba,minor,,
La Apartada,8.0491,-75.3373,Colombia,CO,Córdoba,minor,,
Sutamarchán,5.6154,-73.6170,Colombia,CO,Boyacá,minor,,
Somondoco,4.9849,-73.4324,Colombia,CO,Boyacá,minor,,
Muzo,5.5353,-74.1078,Colombia,CO,Boyacá,minor,,
Guamal,9.1433,-74.2238,Colombia,CO,Magdalena,minor,,
San Pablo de Borbur,5.6514,-74.0699,Colombia,CO,Boyacá,minor,,
Páramo,6.4164,-73.1700,Colombia,CO,Santander,minor,,
Planeta Rica,8.4147,-75.5883,Colombia,CO,Córdoba,minor,,
Útica,5.1873,-74.4810,Colombia,CO,Cundinamarca,minor,,
Valparaíso,5.6150,-75.6242,Colombia,CO,Antioquia,minor,,
Ubaque,4.4867,-73.9375,Colombia,CO,Cundinamarca,minor,,
Rivera,2.7772,-75.2564,Colombia,CO,Huila,minor,,
Nariño,5.6089,-75.1766,Colombia,CO,Antioquia,minor,,
San Pedro de Urabá,8.2751,-76.3764,Colombia,CO,Antioquia,minor,,
La Plata,2.3934,-75.8923,Colombia,CO,Huila,minor,,
Viotá,4.4371,-74.5216,Colombia,CO,Cundinamarca,minor,,
Sáchica,5.5845,-73.5418,Colombia,CO,Boyacá,minor,,
El Águila,4.9135,-76.0400,Colombia,CO,Valle del Cauca,minor,,
Chipatá,6.0620,-73.6372,Colombia,CO,Santander,minor,,
Chipaque,4.4425,-74.0442,Colombia,CO,Cundinamarca,minor,,
Filadelfia,5.2961,-75.5612,Colombia,CO,Caldas,minor,,
Cucunubá,5.2496,-73.7661,Colombia,CO,Cundinamarca,minor,,
Vianí,4.8738,-74.5624,Colombia,CO,Cundinamarca,minor,,
Cerinza,5.9557,-72.9478,Colombia,CO,Boyacá,minor,,
Campamento,6.9792,-75.2972,Colombia,CO,Antioquia,minor,,
Sitionuevo,10.7774,-74.7205,Colombia,CO,Magdalena,minor,,
Sapuyes,1.0373,-77.6209,Colombia,CO,Nariño,minor,,
Icononzo,4.1770,-74.5325,Colombia,CO,Tolima,minor,,
Ansermanuevo,4.7972,-75.9950,Colombia,CO,Valle del Cauca,minor,,
San Carlos,8.7958,-75.6995,Colombia,CO,Córdoba,minor,,
Cuítiva,5.5801,-72.9669,Colombia,CO,Boyacá,minor,,
Firavitoba,5.6688,-72.9929,Colombia,CO,Boyacá,minor,,
La Peña,5.1985,-74.3937,Colombia,CO,Cundinamarca,minor,,
Quetame,4.3323,-73.8614,Colombia,CO,Cundinamarca,minor,,
Barranco de Loba,8.9460,-74.1065,Colombia,CO,Bolívar,minor,,
Armenia,6.1564,-75.7872,Colombia,CO,Antioquia,minor,,
San José de Miranda,6.6587,-72.7334,Colombia,CO,Santander,minor,,
Argelia,4.7234,-76.1191,Colombia,CO,Valle del Cauca,minor,,
Cañasgordas,6.7499,-76.0254,Colombia,CO,Antioquia,minor,,
Toledo,7.0131,-75.6953,Colombia,CO,Antioquia,minor,,
Santa Fe de Antioquia,6.5569,-75.8281,Colombia,CO,Antioquia,minor,,
Gamarra,8.3228,-73.7427,Colombia,CO,Cesar,minor,,
Trujillo,4.2122,-76.3194,Colombia,CO,Valle del Cauca,minor,,
Carmen de Apicalá,4.1473,-74.7201,Colombia,CO,Tolima,minor,,
El Playón,7.4713,-73.2031,Colombia,CO,Santander,minor,,
Bolívar,1.8399,-76.9689,Colombia,CO,Cauca,minor,,
Altos del Rosario,8.7916,-74.1656,Colombia,CO,Bolívar,minor,,
Aratoca,6.6943,-73.0187,Colombia,CO,Santander,minor,,
Córdoba,4.3916,-75.6872,Colombia,CO,Quindío,minor,,
Morales,2.7545,-76.6279,Colombia,CO,Cauca,minor,,
Curití,6.6052,-73.0681,Colombia,CO,Santander,minor,,
Pensilvania,5.3835,-75.1612,Colombia,CO,Caldas,minor,,
El Roble,9.1019,-75.1951,Colombia,CO,Sucre,minor,,
Cumbitara,1.6479,-77.5782,Colombia,CO,Nariño,minor,,
Anzoátegui,4.6309,-75.0946,Colombia,CO,Tolima,minor,,
La Victoria,4.5227,-76.0374,Colombia,CO,Valle del Cauca,minor,,
Guaranda,8.4675,-74.5362,Colombia,CO,Sucre,minor,,
Quebradanegra,5.1174,-74.4794,Colombia,CO,Cundinamarca,minor,,
Floresta,5.8590,-72.9188,Colombia,CO,Boyacá,minor,,
Buenavista,5.5138,-73.9491,Colombia,CO,Boyacá,minor,,
Puerto Triunfo,5.8726,-74.6405,Colombia,CO,Antioquia,minor,,
Balboa,4.9498,-75.9583,Colombia,CO,Risaralda,minor,,
Puente Nacional,5.8774,-73.6781,Colombia,CO,Santander,minor,,
Albania,11.1610,-72.5924,Colombia,CO,La Guajira,minor,,
Liborina,6.6779,-75.8122,Colombia,CO,Antioquia,minor,,
Arbeláez,4.2725,-74.4151,Colombia,CO,Cundinamarca,minor,,
El Bordo,2.1170,-76.9821,Colombia,CO,Cauca,minor,,
Guaduas,5.0669,-74.5950,Colombia,CO,Cundinamarca,minor,,
Ánimas,5.2778,-76.6308,Colombia,CO,Chocó,minor,,
Choachí,4.5290,-73.9227,Colombia,CO,Cundinamarca,minor,,
Santo Domingo,6.4722,-75.1647,Colombia,CO,Antioquia,minor,,
Puerto Boyacá,5.9760,-74.5852,Colombia,CO,Boyacá,minor,,
San Fernando,9.2109,-74.3180,Colombia,CO,Bolívar,minor,,
Quipile,4.7452,-74.5338,Colombia,CO,Cundinamarca,minor,,
San Luis,4.1326,-75.0950,Colombia,CO,Tolima,minor,,
Guayabal de Síquima,4.8774,-74.4674,Colombia,CO,Cundinamarca,minor,,
Bugalagrande,4.2121,-76.1556,Colombia,CO,Valle del Cauca,minor,,
La Sierra,2.1783,-76.7626,Colombia,CO,Cauca,minor,,
Pueblo Nuevo,8.5012,-75.5080,Colombia,CO,Córdoba,minor,,
Saboyá,5.6964,-73.7693,Colombia,CO,Boyacá,minor,,
Yotoco,3.8605,-76.3836,Colombia,CO,Valle del Cauca,minor,,
Viracachá,5.4364,-73.2961,Colombia,CO,Boyacá,minor,,
Oicatá,5.5955,-73.3082,Colombia,CO,Boyacá,minor,,
Tununguá,5.7297,-73.9414,Colombia,CO,Boyacá,minor,,
Tarqui,2.1125,-75.8242,Colombia,CO,Huila,minor,,
San Roque,6.4851,-75.0196,Colombia,CO,Antioquia,minor,,
Falan,5.1238,-74.9518,Colombia,CO,Tolima,minor,,
La Merced,5.3996,-75.5472,Colombia,CO,Caldas,minor,,
Suaza,1.9761,-75.7945,Colombia,CO,Huila,minor,,
Barrancas,10.9567,-72.7946,Colombia,CO,La Guajira,minor,,
San Juan Nepomuceno,9.9516,-75.0820,Colombia,CO,Bolívar,minor,,
Buesaco,1.3836,-77.1562,Colombia,CO,Nariño,minor,,
Riofrío,4.1571,-76.2885,Colombia,CO,Valle del Cauca,minor,,
Chimá,9.1489,-75.6284,Colombia,CO,Córdoba,minor,,
Silvia,2.6156,-76.3826,Colombia,CO,Cauca,minor,,
Guavatá,5.9550,-73.7002,Colombia,CO,Santander,minor,,
Entrerríos,6.5654,-75.5169,Colombia,CO,Antioquia,minor,,
Totoró,2.5111,-76.4018,Colombia,CO,Cauca,minor,,
Argelia,5.7313,-75.1426,Colombia,CO,Antioquia,minor,,
Valencia,8.2580,-76.1493,Colombia,CO,Córdoba,minor,,
Pasca,4.3072,-74.3006,Colombia,CO,Cundinamarca,minor,,
California,7.3478,-72.9458,Colombia,CO,Santander,minor,,
Tibacuy,4.3500,-74.4518,Colombia,CO,Cundinamarca,minor,,
Salamina,10.4903,-74.7946,Colombia,CO,Magdalena,minor,,
La Unión,8.8497,-75.2794,Colombia,CO,Sucre,minor,,
Los Santos,6.7534,-73.1047,Colombia,CO,Santander,minor,,
Chalán,9.5477,-75.3113,Colombia,CO,Sucre,minor,,
Nátaga,2.5436,-75.8085,Colombia,CO,Huila,minor,,
San Onofre,9.7359,-75.5263,Colombia,CO,Sucre,minor,,
San Benito,6.1327,-73.4907,Colombia,CO,Santander,minor,,
Pácora,5.5271,-75.4593,Colombia,CO,Caldas,minor,,
Briceño,5.6882,-73.9178,Colombia,CO,Boyacá,minor,,
Tausa,5.1990,-73.8913,Colombia,CO,Cundinamarca,minor,,
Elías,2.0117,-75.9397,Colombia,CO,Huila,minor,,
Arboletes,8.8505,-76.4269,Colombia,CO,Antioquia,minor,,
Florián,5.8049,-73.9703,Colombia,CO,Santander,minor,,
Abejorral,5.7893,-75.4273,Colombia,CO,Antioquia,minor,,
Caicedo,6.4051,-75.9825,Colombia,CO,Antioquia,minor,,
Matanza,7.3223,-73.0152,Colombia,CO,Santander,minor,,
Talaigua Nuevo,9.3035,-74.5648,Colombia,CO,Bolívar,minor,,
Córdoba,0.8536,-77.5182,Colombia,CO,Nariño,minor,,
El Zulia,7.9325,-72.6013,Colombia,CO,Norte de Santander,minor,,
Oiba,6.2639,-73.2988,Colombia,CO,Santander,minor,,
Angostura,6.8851,-75.3347,Colombia,CO,Antioquia,minor,,
Arenal,8.4593,-73.9433,Colombia,CO,Bolívar,minor,,
Tipacoque,6.4203,-72.6918,Colombia,CO,Boyacá,minor,,
Maripí,5.5519,-74.0086,Colombia,CO,Boyacá,minor,,
San Alberto,7.7611,-73.3922,Colombia,CO,Cesar,minor,,
Necoclí,8.4263,-76.7893,Colombia,CO,Antioquia,minor,,
Socha,5.9973,-72.6914,Colombia,CO,Boyacá,minor,,
Barichara,6.6357,-73.2228,Colombia,CO,Santander,minor,,
San Rafael,6.2944,-75.0259,Colombia,CO,Antioquia,minor,,
Leiva,1.9350,-77.3063,Colombia,CO,Nariño,minor,,
Plato,9.7903,-74.7824,Colombia,CO,Magdalena,minor,,
La Cumbre,3.6500,-76.5698,Colombia,CO,Valle del Cauca,minor,,
Pelaya,8.6882,-73.6645,Colombia,CO,Cesar,minor,,
El Cairo,4.7591,-76.2223,Colombia,CO,Valle del Cauca,minor,,
Valle de San José,6.4475,-73.1436,Colombia,CO,Santander,minor,,
Une,4.4031,-74.0253,Colombia,CO,Cundinamarca,minor,,
Chíquiza,5.6041,-73.4852,Colombia,CO,Boyacá,minor,,
Gachetá,4.8185,-73.6366,Colombia,CO,Cundinamarca,minor,,
Busbanzá,5.8305,-72.8842,Colombia,CO,Boyacá,minor,,
Ovejas,9.5272,-75.2287,Colombia,CO,Sucre,minor,,
Coyaima,3.7994,-75.1947,Colombia,CO,Tolima,minor,,
Santa Rosa de Osos,6.6474,-75.4603,Colombia,CO,Antioquia,minor,,
San Francisco,1.1787,-76.8785,Colombia,CO,Putumayo,minor,,
San Antero,9.3741,-75.7589,Colombia,CO,Córdoba,minor,,
Salamina,5.4073,-75.4875,Colombia,CO,Caldas,minor,,
Pauna,5.6586,-73.9825,Colombia,CO,Boyacá,minor,,
El Tablón,1.4272,-77.0969,Colombia,CO,Nariño,minor,,
Albania,5.7589,-73.9138,Colombia,CO,Santander,minor,,
Algeciras,2.5230,-75.3149,Colombia,CO,Huila,minor,,
Tibirita,5.0523,-73.5046,Colombia,CO,Cundinamarca,minor,,
Palermo,2.8917,-75.4375,Colombia,CO,Huila,minor,,
San Sebastián de Buenavista,9.2378,-74.3517,Colombia,CO,Magdalena,minor,,
Togüí,5.9346,-73.5130,Colombia,CO,Boyacá,minor,,
Soatá,6.3337,-72.6828,Colombia,CO,Boyacá,minor,,
Guasca,4.8660,-73.8775,Colombia,CO,Cundinamarca,minor,,
La Capilla,5.0959,-73.4441,Colombia,CO,Boyacá,minor,,
Olaya,6.6277,-75.8127,Colombia,CO,Antioquia,minor,,
Cumbal,0.9087,-77.7915,Colombia,CO,Nariño,minor,,
El Tambo,1.4078,-77.3922,Colombia,CO,Nariño,minor,,
El Peñol,1.4537,-77.4402,Colombia,CO,Nariño,minor,,
Casabianca,5.0796,-75.1206,Colombia,CO,Tolima,minor,,
La Argentina,2.1976,-75.9799,Colombia,CO,Huila,minor,,
Quípama,5.5194,-74.1777,Colombia,CO,Boyacá,minor,,
San Cayetano,7.8771,-72.6243,Colombia,CO,Norte de Santander,minor,,
Belén,5.9889,-72.9125,Colombia,CO,Boyacá,minor,,
Dagua,3.6569,-76.6886,Colombia,CO,Valle del Cauca,minor,,
Caldas,5.5546,-73.8657,Colombia,CO,Boyacá,minor,,
Paispamba,2.2546,-76.6109,Colombia,CO,Cauca,minor,,
Gámeza,5.8026,-72.8059,Colombia,CO,Boyacá,minor,,
Bochalema,7.6110,-72.6477,Colombia,CO,Norte de Santander,minor,,
San Sebastián,1.8386,-76.7719,Colombia,CO,Cauca,minor,,
Gómez Plata,6.6818,-75.2191,Colombia,CO,Antioquia,minor,,
Hobo,2.5833,-75.4500,Colombia,CO,Huila,minor,,
Palmas del Socorro,6.4076,-73.2882,Colombia,CO,Santander,minor,,
San Zenón,9.2422,-74.5004,Colombia,CO,Magdalena,minor,,
Nariño,4.3978,-74.8273,Colombia,CO,Cundinamarca,minor,,
San Andrés,6.9033,-75.6825,Colombia,CO,Antioquia,minor,,
Policarpa,1.6284,-77.4596,Colombia,CO,Nariño,minor,,
Aipe,3.2222,-75.2367,Colombia,CO,Huila,minor,,
El Molino,10.6530,-72.9246,Colombia,CO,La Guajira,minor,,
Boavita,6.3303,-72.5850,Colombia,CO,Boyacá,minor,,
Argelia,2.2556,-77.2488,Colombia,CO,Cauca,minor,,
Giraldo,6.6801,-75.9526,Colombia,CO,Antioquia,minor,,
Santiago,1.1484,-77.0045,Colombia,CO,Putumayo,minor,,
Tangua,1.0947,-77.3948,Colombia,CO,Nariño,minor,,
Miraflores,5.1961,-73.1450,Colombia,CO,Boyacá,minor,,
Puerto Salgar,5.4630,-74.6544,Colombia,CO,Cundinamarca,minor,,
Margarita,9.1560,-74.2662,Colombia,CO,Bolívar,minor,,
Inzá,2.5545,-76.0672,Colombia,CO,Cauca,minor,,
Arcabuco,5.7546,-73.4367,Colombia,CO,Boyacá,minor,,
Puerto Libertador,7.8894,-75.6702,Colombia,CO,Córdoba,minor,,
Confines,6.3563,-73.2413,Colombia,CO,Santander,minor,,
Cajamarca,4.4423,-75.4287,Colombia,CO,Tolima,minor,,
Gramalote,7.8875,-72.7975,Colombia,CO,Norte de Santander,minor,,
Vélez,6.0134,-73.6735,Colombia,CO,Santander,minor,,
San Miguel de Sema,5.5185,-73.7224,Colombia,CO,Boyacá,minor,,
Chitaraque,6.0284,-73.4470,Colombia,CO,Boyacá,minor,,
Corrales,5.8297,-72.8433,Colombia,CO,Boyacá,minor,,
Herrán,7.5061,-72.4833,Colombia,CO,Norte de Santander,minor,,
Íquira,2.6487,-75.6346,Colombia,CO,Huila,minor,,
Bituima,4.8725,-74.5393,Colombia,CO,Cundinamarca,minor,,
Guayatá,4.9642,-73.4875,Colombia,CO,Boyacá,minor,,
Colón,1.1912,-76.9685,Colombia,CO,Putumayo,minor,,
Vergara,5.1184,-74.3455,Colombia,CO,Cundinamarca,minor,,
Colosó,9.4948,-75.3527,Colombia,CO,Sucre,minor,,
Uramita,6.8994,-76.1742,Colombia,CO,Antioquia,minor,,
Zambrano,9.7474,-74.8157,Colombia,CO,Bolívar,minor,,
Suaita,6.1014,-73.4404,Colombia,CO,Santander,minor,,
Sabanalarga,6.8489,-75.8171,Colombia,CO,Antioquia,minor,,
Lourdes,7.9441,-72.8325,Colombia,CO,Norte de Santander,minor,,
Aguazul,5.1728,-72.5471,Colombia,CO,Casanare,minor,,
Villahermosa,5.0307,-75.1161,Colombia,CO,Tolima,minor,,
Chivolo,10.0250,-74.6228,Colombia,CO,Magdalena,minor,,
La Palma,5.3592,-74.3905,Colombia,CO,Cundinamarca,minor,,
San Martín de Loba,8.9360,-74.0398,Colombia,CO,Bolívar,minor,,
Valdivia,7.1643,-75.4391,Colombia,CO,Antioquia,minor,,
Villanueva,4.6121,-72.9276,Colombia,CO,Casanare,minor,,
Alejandría,6.3774,-75.1406,Colombia,CO,Antioquia,minor,,
Regidor,8.6657,-73.8215,Colombia,CO,Bolívar,minor,,
Ortega,3.9361,-75.2217,Colombia,CO,Tolima,minor,,
Gama,4.7629,-73.6109,Colombia,CO,Cundinamarca,minor,,
Paz de Río,5.9845,-72.7505,Colombia,CO,Boyacá,minor,,
La Playa,8.2132,-73.2383,Colombia,CO,Norte de Santander,minor,,
Valle de San Juan,4.1987,-75.1173,Colombia,CO,Tolima,minor,,
Puerto Nare,6.1876,-74.5997,Colombia,CO,Antioquia,minor,,
San Antonio,3.9142,-75.4801,Colombia,CO,Tolima,minor,,
Panqueba,6.4453,-72.4627,Colombia,CO,Boyacá,minor,,
Orito,0.6682,-76.9347,Colombia,CO,Putumayo,minor,,
El Bagre,7.5982,-74.8069,Colombia,CO,Antioquia,minor,,
Majagual,8.5412,-74.6294,Colombia,CO,Sucre,minor,,
Algarrobo,10.1862,-74.0609,Colombia,CO,Magdalena,minor,,
Anzá,6.3032,-75.8538,Colombia,CO,Antioquia,minor,,
Pachavita,5.1397,-73.3974,Colombia,CO,Boyacá,minor,,
Achí,8.5695,-74.5572,Colombia,CO,Bolívar,minor,,
Agrado,2.2573,-75.7714,Colombia,CO,Huila,minor,,
Victoria,5.3165,-74.9110,Colombia,CO,Caldas,minor,,
San Vicente de Chucurí,6.8810,-73.4098,Colombia,CO,Santander,minor,,
Coconuco,2.3425,-76.4958,Colombia,CO,Cauca,minor,,
Yaguará,2.6635,-75.5175,Colombia,CO,Huila,minor,,
Condoto,5.0935,-76.6497,Colombia,CO,Chocó,minor,,
Tinjacá,5.5792,-73.6449,Colombia,CO,Boyacá,minor,,
Caimito,8.7896,-75.1169,Colombia,CO,Sucre,minor,,
Santa Rita,5.1833,-76.4833,Colombia,CO,Chocó,minor,,
Potosí,0.8074,-77.5722,Colombia,CO,Nariño,minor,,
Santa María,2.9390,-75.5858,Colombia,CO,Huila,minor,,
El Peñón,8.9869,-73.9470,Colombia,CO,Bolívar,minor,,
Bocas de Satinga,2.3481,-78.3257,Colombia,CO,Nariño,minor,,
Santa Sofía,5.7091,-73.6040,Colombia,CO,Boyacá,minor,,
Tamalameque,8.8522,-73.8123,Colombia,CO,Cesar,minor,,
El Dovio,4.5079,-76.2362,Colombia,CO,Valle del Cauca,minor,,
El Peñón,5.2526,-74.2907,Colombia,CO,Cundinamarca,minor,,
Ambalema,4.7840,-74.7627,Colombia,CO,Tolima,minor,,
El Difícil,9.8497,-74.2363,Colombia,CO,Magdalena,minor,,
Supatá,5.0610,-74.2372,Colombia,CO,Cundinamarca,minor,,
Samaná,5.4126,-74.9922,Colombia,CO,Caldas,minor,,
San Calixto,8.4021,-73.2074,Colombia,CO,Norte de Santander,minor,,
Pailitas,8.9565,-73.6255,Colombia,CO,Cesar,minor,,
Versalles,4.5754,-76.1981,Colombia,CO,Valle del Cauca,minor,,
Tota,5.5583,-72.9876,Colombia,CO,Boyacá,minor,,
Aguadas,5.6116,-75.4562,Colombia,CO,Caldas,minor,,
Jesús María,5.8772,-73.7810,Colombia,CO,Santander,minor,,
Guapotá,6.3080,-73.3202,Colombia,CO,Santander,minor,,
Pedraza,10.1874,-74.9150,Colombia,CO,Magdalena,minor,,
Pueblo Bello,10.4171,-73.5804,Colombia,CO,Cesar,minor,,
Génova,4.2080,-75.7888,Colombia,CO,Quindío,minor,,
Guatavita,4.9366,-73.8331,Colombia,CO,Cundinamarca,minor,,
San Jacinto del Cauca,8.2498,-74.7208,Colombia,CO,Bolívar,minor,,
El Piñón,10.4028,-74.8242,Colombia,CO,Magdalena,minor,,
Gachantivá,5.7566,-73.5395,Colombia,CO,Boyacá,minor,,
Concepción,6.3941,-75.2583,Colombia,CO,Antioquia,minor,,
Cértegui,5.3707,-76.6044,Colombia,CO,Chocó,minor,,
Alvarado,4.5833,-75.0000,Colombia,CO,Tolima,minor,,
Suárez,2.9540,-76.6964,Colombia,CO,Cauca,minor,,
Berbeo,5.2268,-73.1261,Colombia,CO,Boyacá,minor,,
El Dorado,3.7392,-73.8349,Colombia,CO,Meta,minor,,
Fortul,6.7926,-71.7760,Colombia,CO,Arauca,minor,,
Agustín Codazzi,10.0367,-73.2356,Colombia,CO,Cesar,minor,,
Salahonda,2.0406,-78.6588,Colombia,CO,Nariño,minor,,
Pamplonita,7.4364,-72.6381,Colombia,CO,Norte de Santander,minor,,
La Tola,2.3995,-78.1892,Colombia,CO,Nariño,minor,,
San Andrés,6.8115,-72.8493,Colombia,CO,Santander,minor,,
Villagómez,5.2737,-74.1961,Colombia,CO,Cundinamarca,minor,,
Cumaral,4.2708,-73.4867,Colombia,CO,Meta,minor,,
Machetá,5.0815,-73.6076,Colombia,CO,Cundinamarca,minor,,
San José de la Montaña,6.8503,-75.6833,Colombia,CO,Antioquia,minor,,
Jericó,6.1459,-72.5708,Colombia,CO,Boyacá,minor,,
San Juan de Rioseco,4.8478,-74.6215,Colombia,CO,Cundinamarca,minor,,
Guadalupe,6.2464,-73.4183,Colombia,CO,Santander,minor,,
Tasco,5.9104,-72.7800,Colombia,CO,Boyacá,minor,,
Norcasia,5.5754,-74.8883,Colombia,CO,Caldas,minor,,
Manta,5.0086,-73.5412,Colombia,CO,Cundinamarca,minor,,
Aguada,6.1623,-73.5221,Colombia,CO,Santander,minor,,
Santa Bárbara de Pinto,9.4325,-74.7041,Colombia,CO,Magdalena,minor,,
